service_name,category_tree
CONSULENZA PROTESI ,SERVIZIO UOMO
Shampoo e Piega,Uomo
Piega,Uomo
Taglio Bambino,Uomo
Barba Lametta,Uomo
Rasata Macchinetta,Uomo
Barba Macchinetta,Uomo
Linee Barba,Uomo
Peli e Sopracciglia,Uomo
Barba Macchinetta e Linee,Uomo
Barba In Testa,Uomo
Trattamenti Tecnici,Uomo
Pulita Al Collo,Uomo
Barba a Vapore,Uomo
Shampoo e Taglio ,Donna
Shampoo e Piega ,Donna
Colore ,Donna
Trattamento Specifico ,Donna
Shampoo e Taglio ,Uomo
Taglio Con Risciacquo,Uomo
Taglio Con Risciacquo,Uomo
Shampoo e Taglio ,Uomo
LASER INGUINE TOTALE, Laser
SEMIPERMANENTE,Mani
GEL MANI,Mani
RICOSTRUZIONE GEL,Mani
LASER COSCIA, Laser
LASER GAMBALETTO, Laser
LASER GAMBE, Laser
LASER BRACCIA, Laser
LASER ASCELLE, Laser
LASER VISO TOTALE, Laser
CERA GAMBE,Epilazione
CERA INGUINE,Epilazione
CERA LABBRO + SOPRACCIGLIA,Epilazione
CERA BRACCIA,Epilazione
1/2 CERA + inguine,Epilazione
CALLUS MAVEX CURATIVO,Piedi
PEDICURE CLASSICA,Piedi
TRATTAMENTO PERLA NERA,Viso
TRATTAMENTO GRANODERMA,Viso
TRATTAMENTO WHITE PERFECTION,Viso
TRATTAMENTO BEAUTY LIGHT,Viso
PULIZIA VISO,Viso
PEELING CORPO,Corpo
BODY BLACK,Corpo
BODY SHAPE,Corpo
PRESSOTERAPIA,Corpo
TRATTAMENTO ROBEUS,Corpo
SEMI PIEDI,Piedi
CERA GLUTEI,Epilazione
CERA ADDOME,Epilazione
LASER SCHIENA, Laser
TRUCCO GIORNO,Make-up
TRUCCO SPOSA,Make-up
DERMOPIGMENTAZIONE ,Dermopigmentazione 
RITOCCO TATUAGGIO,Dermopigmentazione 
MANICURE,Mani
CERA ASCELLE,Epilazione
LAMINAZIONE,Ciglia
EXTENCION,Ciglia
EXTENCION VOLUME,Ciglia
SEMIPERMANENTE + SEMI PIEDI,Piedi
SEMIPERMANENTE + PEDICURE,Varie
CERA BRACCIA + L+S,Epilazione
