service_name,category_tree
Aggiunta Piega Onde Tempo in più,Capelli Medi > Senza Taglio
Aggiunta Piega Onde Tempo in più,Capelli Lunghi > Con Taglio
Aggiunta Piega Onde Tempo in più,Capelli Lunghi > Senza Taglio
Piega Bio,Capelli Corti > Senza Taglio
Piega Bio,Capelli Corti > Con Taglio
Piega Bio,Capelli Medi > Senza Taglio
Piega Bio,Capelli Medi > Con Taglio
Piega Bio,Capelli Lunghi > Senza Taglio
Piega Bio,Capelli Lunghi > Con Taglio
Sylade,Non Prenotabili
Exstension (prezzo in Consulenza),Capelli Corti > Senza Taglio
Exstension (prezzo in Consulenza),Capelli Corti > Con Taglio
Exstension (prezzo in Consulenza),Capelli Medi > Senza Taglio
Exstension (prezzo in Consulenza),Capelli Medi > Con Taglio
Exstension (prezzo in Consulenza),Capelli Lunghi > Senza Taglio
Exstension (prezzo in Consulenza),Capelli Lunghi > Con Taglio
Manicure ,Estetica
Smalto semipermanente,Estetica
Rimozione Semipermanente,Estetica
Smalto semipermanente Piedi,Estetica
Semipermanente Curativo,Estetica
Pulizia Viso,Estetica
Pulizia Viso + Trattamento,Estetica
Sopracciglia,Estetica
Baffetti,Estetica
Depilazione Total Body Uomo,Estetica
Cera Petto Uomo,Estetica
Cera Schiena Uomo,Estetica
Cera Gambe Uomo,Estetica
Cera Braccia Uomo da,Estetica
Depilazione Total Body Donna,Estetica
Cera Gamba intera + inguine Donna,Estetica
Cera Braccia Donna,Estetica
Cera Mezza Gamba Donna,Estetica
Cera Ascella Donna,Estetica
Pedicure Estetico,Estetica
Pedicure Curativo ,Estetica
Epilazione Laser da ,Estetica
Rasatura Barba,Maschile
Rasatura a Macchinetta,Maschile
Barba Modellata,Maschile
Trattamento Capelli ,Maschile
Taglio e Shampoo,Maschile
Taglio Style e Shampoo,Maschile
"Taglio, Shampoo e Barba",Maschile
Taglio Baby,Maschile
Colore Completo,Maschile
Shampoo - Capelli Corti,Non Prenotabili
Shampoo - Capelli Medi,Non Prenotabili
Shampoo - Capelli Lunghi,Non Prenotabili
Taglio - Capelli Corti,Non Prenotabili
Taglio - Capelli Medi,Non Prenotabili
Taglio - Capelli Lunghi,Non Prenotabili
Taglio Bimbo/A - Capelli Corti,Non Prenotabili
Taglio Bimbo/A - Capelli Medi,Non Prenotabili
Taglio Bimbo/A - Capelli Lunghi,Non Prenotabili
Piega - Capelli Corti,Non Prenotabili
Piega - Capelli Medi,Non Prenotabili
Piega - Capelli Lunghi,Non Prenotabili
App Ritocco Colore - Capelli Corti,Non Prenotabili
App Ritocco Colore - Capelli Medi,Non Prenotabili
App Ritocco Colore - Capelli Lunghi,Non Prenotabili
App Colore Completo Bio - Capelli Corti,Non Prenotabili
App Colore Completo Bio - Capelli Medi,Non Prenotabili
App Colore Completo Bio - Capelli Lunghi,Non Prenotabili
App Meches Parziali - Capelli Corti,Non Prenotabili
App Meches Parziali - Capelli Medi,Non Prenotabili
App Meches Parziali - Capelli Lunghi,Non Prenotabili
App Meches Completo - Capelli Corti,Non Prenotabili
App Meches Completo - Capelli Medi,Non Prenotabili
App Meches Completo - Capelli Lunghi,Non Prenotabili
App Balayage - Capelli Corti,Non Prenotabili
App Balayage - Capelli Medi,Non Prenotabili
App Balayage - Capelli Lunghi,Non Prenotabili
App Colpi di Sole - Capelli Corti,Non Prenotabili
App Colpi di Sole - Capelli Medi,Non Prenotabili
App Colpi di Sole - Capelli Lunghi,Non Prenotabili
App Degradè - Capelli Corti,Non Prenotabili
App Degradè - Capelli Medi,Non Prenotabili
App Degradè - Capelli Lunghi,Non Prenotabili
App Permanente - Capelli Corti,Non Prenotabili
App Permanente - Capelli Medi,Non Prenotabili
App Permanente - Capelli Lunghi,Non Prenotabili
App Riflessante - Capelli Corti,Non Prenotabili
App Riflessante - Capelli Medi,Non Prenotabili
App Riflessante - Capelli Lunghi,Non Prenotabili
App Trattameto Keratina - Capelli Corti,Non Prenotabili
App Trattameto Keratina - Capelli Medi,Non Prenotabili
App Trattameto Keratina - Capelli Lunghi,Non Prenotabili
Stiraggio - Capelli Corti,Non Prenotabili
Stiraggio - Capelli Medi,Non Prenotabili
Stiraggio - Capelli Lunghi,Non Prenotabili
Tonalizzante - Capelli Corti,Non Prenotabili
Tonalizzante - Capelli Medi,Non Prenotabili
Tonalizzante - Capelli Lunghi,Non Prenotabili
Ricostruzione - Capelli Corti,Non Prenotabili
Ricostruzione - Capelli Medi,Non Prenotabili
Ricostruzione - Capelli Lunghi,Non Prenotabili
Trat Pulizia Cute - Capelli Corti,Non Prenotabili
Trat Pulizia Cute - Capelli Medi,Non Prenotabili
Trat Pulizia Cute - Capelli Lunghi,Non Prenotabili
Aggiunta Piega Babyliss Tempo in più,Capelli Corti > Senza Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Corti > Con Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Medi > Senza Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Medi > Con Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Lunghi > Senza Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Lunghi > Con Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Corti > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Corti > Con Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Medi > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Medi > Con Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Lunghi > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Lunghi > Con Taglio
Aggiunta Piega Onde Tempo in più,Capelli Corti > Con Taglio
Aggiunta Piega Onde Tempo in più,Capelli Corti > Senza Taglio
Aggiunta Piega Onde Tempo in più,Capelli Medi > Con Taglio
Aggiunta Piega Onde Tempo in più,Capelli Medi > Senza Taglio
Aggiunta Piega Onde Tempo in più,Capelli Lunghi > Con Taglio
Aggiunta Piega Onde Tempo in più,Capelli Lunghi > Senza Taglio
Piega Bio,Capelli Corti > Senza Taglio
Piega Bio,Capelli Corti > Con Taglio
Piega Bio,Capelli Medi > Senza Taglio
Piega Bio,Capelli Medi > Con Taglio
Piega Bio,Capelli Lunghi > Senza Taglio
Piega Bio,Capelli Lunghi > Con Taglio
Sylade,Non Prenotabili
Exstension (prezzo in Consulenza),Capelli Corti > Senza Taglio
Exstension (prezzo in Consulenza),Capelli Corti > Con Taglio
Exstension (prezzo in Consulenza),Capelli Medi > Senza Taglio
Exstension (prezzo in Consulenza),Capelli Medi > Con Taglio
Exstension (prezzo in Consulenza),Capelli Lunghi > Senza Taglio
Exstension (prezzo in Consulenza),Capelli Lunghi > Con Taglio
Manicure ,Estetica
Smalto semipermanente,Estetica
Rimozione Semipermanente,Estetica
Smalto semipermanente Piedi,Estetica
Semipermanente Curativo,Estetica
Pulizia Viso,Estetica
Pulizia Viso + Trattamento,Estetica
Sopracciglia,Estetica
Baffetti,Estetica
Depilazione Total Body Uomo,Estetica
Cera Petto Uomo,Estetica
Cera Schiena Uomo,Estetica
Cera Gambe Uomo,Estetica
Cera Braccia Uomo da,Estetica
Depilazione Total Body Donna,Estetica
Cera Gamba intera + inguine Donna,Estetica
Cera Braccia Donna,Estetica
Cera Mezza Gamba Donna,Estetica
Cera Ascella Donna,Estetica
Pedicure Estetico,Estetica
Pedicure Curativo ,Estetica
Epilazione Laser da ,Estetica
Rasatura Barba,Maschile
Rasatura a Macchinetta,Maschile
Barba Modellata,Maschile
Trattamento Capelli ,Maschile
Taglio e Shampoo,Maschile
Taglio Style e Shampoo,Maschile
"Taglio, Shampoo e Barba",Maschile
Taglio Baby,Maschile
Colore Completo,Maschile
Shampoo - Capelli Corti,Non Prenotabili
Shampoo - Capelli Medi,Non Prenotabili
Shampoo - Capelli Lunghi,Non Prenotabili
Taglio - Capelli Corti,Non Prenotabili
Taglio - Capelli Medi,Non Prenotabili
Taglio - Capelli Lunghi,Non Prenotabili
Taglio Bimbo/A - Capelli Corti,Non Prenotabili
Taglio Bimbo/A - Capelli Medi,Non Prenotabili
Taglio Bimbo/A - Capelli Lunghi,Non Prenotabili
Piega - Capelli Corti,Non Prenotabili
Piega - Capelli Medi,Non Prenotabili
Piega - Capelli Lunghi,Non Prenotabili
App Ritocco Colore - Capelli Corti,Non Prenotabili
App Ritocco Colore - Capelli Medi,Non Prenotabili
App Ritocco Colore - Capelli Lunghi,Non Prenotabili
App Colore Completo - Capelli Corti,Non Prenotabili
App Colore Completo - Capelli Medi,Non Prenotabili
App Colore Completo - Capelli Lunghi,Non Prenotabili
App Meches Parziali - Capelli Corti,Non Prenotabili
App Meches Parziali - Capelli Medi,Non Prenotabili
App Meches Parziali - Capelli Lunghi,Non Prenotabili
App Meches Completo - Capelli Corti,Non Prenotabili
App Meches Completo - Capelli Medi,Non Prenotabili
App Meches Completo - Capelli Lunghi,Non Prenotabili
App Balayage - Capelli Corti,Non Prenotabili
App Balayage - Capelli Medi,Non Prenotabili
App Balayage - Capelli Lunghi,Non Prenotabili
App Degradè Ritocco - Capelli Corti,Non Prenotabili
App Degradè Ritocco - Capelli Medi,Non Prenotabili
App Degradè Ritocco - Capelli Lunghi,Non Prenotabili
App Degradè - Capelli Corti,Non Prenotabili
App Degradè - Capelli Medi,Non Prenotabili
App Degradè - Capelli Lunghi,Non Prenotabili
App Permanente - Capelli Corti,Non Prenotabili
App Permanente - Capelli Medi,Non Prenotabili
App Permanente - Capelli Lunghi,Non Prenotabili
App Riflessante - Capelli Corti,Non Prenotabili
App Riflessante - Capelli Medi,Non Prenotabili
App Riflessante - Capelli Lunghi,Non Prenotabili
Tonalizzante - Capelli Corti,Non Prenotabili
Tonalizzante - Capelli Medi,Non Prenotabili
Tonalizzante - Capelli Lunghi,Non Prenotabili
Trattamento - Capelli Corti,Non Prenotabili
Trattamento - Capelli Medi,Non Prenotabili
Trattamento - Capelli Lunghi,Non Prenotabili
Ricostruzione - Capelli Corti,Non Prenotabili
Ricostruzione - Capelli Medi,Non Prenotabili
Ricostruzione - Capelli Lunghi,Non Prenotabili
Trat Pulizia Cute - Capelli Corti,Non Prenotabili
Trat Pulizia Cute - Capelli Medi,Non Prenotabili
Trat Pulizia Cute - Capelli Lunghi,Non Prenotabili
Aggiunta Piega Babyliss Tempo in più,Capelli Corti > Con Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Medi > Con Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Lunghi > Con Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Corti > Con Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Medi > Con Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Lunghi > Con Taglio
Aggiunta Piega Onde Tempo in più,Capelli Corti > Con Taglio
Aggiunta Piega Onde Tempo in più,Capelli Medi > Con Taglio
Aggiunta Piega Onde Tempo in più,Capelli Lunghi > Con Taglio
Lisciante - Capelli Corti,Capelli Corti > Senza Taglio
Lisciante - Capelli Medi,Capelli Medi > Senza Taglio
Lisciante - Capelli Lunghi,Capelli Lunghi > Senza Taglio
Riduzione Volume - Capelli Corti,Capelli Corti > Senza Taglio
Riduzione Volume - Capelli Medi,Capelli Medi > Senza Taglio
Riduzione Volume - Capelli Lunghi,Capelli Lunghi > Senza Taglio
Anticrespo - Capelli Corti,Capelli Corti > Senza Taglio
Anticrespo - Capelli Medi,Capelli Medi > Senza Taglio
Anticrespo - Capelli Lunghi,Capelli Lunghi > Senza Taglio
Elumen - Capelli Corti,Non Prenotabili
Elumen - Capelli Medi,Non Prenotabili
Elumen - Capelli Lunghi,Non Prenotabili
Colpi di Sole - Capelli Corti,Non Prenotabili
Colpi di Sole - Capelli Medi,Non Prenotabili
Colpi di Sole - Capelli Lunghi,Non Prenotabili
Colpi Parziali - Capelli Corti,Non Prenotabili
Colpi Parziali - Capelli Medi,Non Prenotabili
Colpi Parziali - Capelli Lunghi,Non Prenotabili
Raccolto - Capelli Corti,Capelli Corti > Senza Taglio
Raccolto - Capelli Medi,Capelli Medi > Senza Taglio
Raccolto - Capelli Lunghi,Capelli Lunghi > Senza Taglio
Solage Meches - Capelli Corti,Non Prenotabili
Solage Meches - Capelli Medi,Non Prenotabili
Solage Meches - Capelli Lunghi,Non Prenotabili
Color Morfhing - Capelli Corti,Non Prenotabili
Color Morfhing - Capelli Medi,Non Prenotabili
Color Morfhing - Capelli Lunghi,Non Prenotabili
Aggiunta Piega Babyliss Tempo in più,Capelli Corti > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Corti > Senza Taglio
Aggiunta Piega Onde Tempo in più,Capelli Corti > Senza Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Medi > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Medi > Senza Taglio
Aggiunta Piega Onde Tempo in più,Capelli Medi > Senza Taglio
Aggiunta Piega Babyliss Tempo in più,Capelli Lunghi > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Capelli Lunghi > Senza Taglio
Aggiunta Piega Onde Tempo in più,Capelli Lunghi > Senza Taglio
Liscio Perfetto,Non Prenotabili
Laminazione Corto,Non Prenotabili
S.o.s. ricostruzione fibra capillare  ,Non Prenotabili
Laminazione Medio,Non Prenotabili
Laminazione Lunghi,Non Prenotabili
App Blindaggio Colore,Non Prenotabili
Deco Totale- Capelli Medi,Non Prenotabili
Applicazione smalto semipermanente mani,Smalto semipermanente
Barba Modellata,Maschile
Shampoo e Piega,Maschile
Taglio e Shampoo,Maschile
"Taglio, Shampoo e Barba",Maschile
Taglio Baby,Maschile
Barba Colorata,Maschile
Barba Purificante con Peeliag,Maschile
Barba A Vapore,Maschile
Permanente,Maschile
Trattamento Cute,Uomo donna
Schiariture,Maschile
Trattamento stirante,Maschile
Trattamento  Cheratinizzante,Maschile
Solarium spray,Uomo donna
Solarium viso,Uomo donna
Solarium corpo,Uomo donna
Colore,Maschile
Sopracciglia ,""
Shampoo - Capelli Corti,Acconciature > Non Prenotabili
Shampoo - Capelli Medi,Acconciature > Non Prenotabili
Shampoo - Capelli Lunghi,Acconciature > Non Prenotabili
Taglio - Capelli Corti,Acconciature > Non Prenotabili
Taglio - Capelli Medi,Acconciature > Non Prenotabili
Taglio - Capelli Lunghi,Acconciature > Non Prenotabili
Piega - Capelli Corti,Acconciature > Non Prenotabili
Piega - Capelli Medi,Acconciature > Non Prenotabili
Piega - Capelli Lunghi,Acconciature > Non Prenotabili
App Colore (radici) - Capelli Corti,Acconciature > Non Prenotabili
App Colore (radici) - Capelli Medi,Acconciature > Non Prenotabili
App Colore (radici) - Capelli Lunghi,Acconciature > Non Prenotabili
App Colore Completo - Capelli Corti,Acconciature > Non Prenotabili
App Colore Completo - Capelli Medi,Acconciature > Non Prenotabili
App Colore Completo - Capelli Lunghi,Acconciature > Non Prenotabili
App Meches Parziali - Capelli Medi,Acconciature > Non Prenotabili
App Meches Parziali - Capelli Lunghi,Acconciature > Non Prenotabili
App Meches Completo - Capelli Corti,Acconciature > Non Prenotabili
App Meches Completo - Capelli Medi,Acconciature > Non Prenotabili
App Meches Completo - Capelli Lunghi,Acconciature > Non Prenotabili
App Balayage - Capelli Corti,Acconciature > Non Prenotabili
App Balayage - Capelli Medi,Acconciature > Non Prenotabili
App Balayage - Capelli Lunghi,Acconciature > Non Prenotabili
App Permanente - Capelli Corti,Acconciature > Non Prenotabili
App Permanente - Capelli Medi,Acconciature > Non Prenotabili
App Permanente - Capelli Lunghi,Acconciature > Non Prenotabili
App Riflessante - Capelli Corti,Acconciature > Non Prenotabili
App Riflessante - Capelli Medi,Acconciature > Non Prenotabili
App Riflessante - Capelli Lunghi,Acconciature > Non Prenotabili
Stiraggio Innovatis - Capelli Corti,Acconciature > Non Prenotabili
Stiraggio Innovatis - Capelli Medi,Acconciature > Non Prenotabili
Stiraggio Innovatis - Capelli Lunghi,Acconciature > Non Prenotabili
Asciugatura per Keratina - Capelli Corti,Acconciature > Non Prenotabili
Asciugatura per Keratina - Capelli Medi,Acconciature > Non Prenotabili
Asciugatura per Keratina - Capelli Lunghi,Acconciature > Non Prenotabili
Tonalizzante - Capelli Corti,Acconciature > Non Prenotabili
Tonalizzante - Capelli Medi,Acconciature > Non Prenotabili
Tonalizzante - Capelli Lunghi,Acconciature > Non Prenotabili
Ricostruzione - Capelli Corti,Acconciature > Non Prenotabili
Ricostruzione - Capelli Medi,Acconciature > Non Prenotabili
Ricostruzione - Capelli Lunghi,Acconciature > Non Prenotabili
Trat Pulizia Cute - Capelli Corti,Acconciature > Capelli Corti > Con Taglio
Trat Pulizia Cute - Capelli Medi,Acconciature > Capelli Medi > Con Taglio
Trat Pulizia Cute - Capelli Lunghi,Acconciature > Capelli Lunghi > Con Taglio
Aggiunta Piega Babyliss Tempo in più,Acconciature > Capelli Corti > Con Taglio
Aggiunta Piega Babyliss Tempo in più,Acconciature > Capelli Corti > Senza Taglio
Aggiunta Piega Babyliss Tempo in più,Acconciature > Capelli Medi > Con Taglio
Aggiunta Piega Babyliss Tempo in più,Acconciature > Capelli Medi > Senza Taglio
Aggiunta Piega Babyliss Tempo in più,Acconciature > Capelli Lunghi > Con Taglio
Aggiunta Piega Babyliss Tempo in più,Acconciature > Capelli Lunghi > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Acconciature > Capelli Corti > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Acconciature > Capelli Corti > Con Taglio
Aggiunta Piega Piastra Tempo in più,Acconciature > Capelli Medi > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Acconciature > Capelli Medi > Con Taglio
Aggiunta Piega Piastra Tempo in più,Acconciature > Capelli Lunghi > Senza Taglio
Aggiunta Piega Piastra Tempo in più,Acconciature > Capelli Lunghi > Con Taglio
Aggiunta Piega Onde Tempo in più,Acconciature > Capelli Corti > Senza Taglio
Aggiunta Piega Onde Tempo in più,Acconciature > Capelli Corti > Con Taglio
Aggiunta Piega Onde Tempo in più,Acconciature > Capelli Medi > Senza Taglio
Aggiunta Piega Onde Tempo in più,Acconciature > Capelli Medi > Con Taglio
Aggiunta Piega Onde Tempo in più,Acconciature > Capelli Lunghi > Senza Taglio
Aggiunta Piega Onde Tempo in più,Acconciature > Capelli Lunghi > Con Taglio
Aggiunta Piega Frisè Tempo in più,Acconciature > Capelli Corti > Senza Taglio
Aggiunta Piega Frisè Tempo in più,Acconciature > Capelli Corti > Con Taglio
Aggiunta Piega Frisè Tempo in più,Acconciature > Capelli Medi > Senza Taglio
Aggiunta Piega Frisè Tempo in più,Acconciature > Capelli Medi > Con Taglio
Aggiunta Piega Frisè Tempo in più,Acconciature > Capelli Lunghi > Senza Taglio
Aggiunta Piega Frisè Tempo in più,Acconciature > Capelli Lunghi > Con Taglio
Pettinata,Acconciature > Capelli Corti > Senza Taglio
Pettinata,Acconciature > Capelli Medi > Senza Taglio
Pettinata,Acconciature > Capelli Lunghi > Senza Taglio
Lisse Design,Acconciature > Capelli Corti > Senza Taglio
Lisse Design,Acconciature > Capelli Medi > Senza Taglio
Lisse Design,Acconciature > Capelli Lunghi > Senza Taglio
Laminazione,Acconciature > Capelli Corti > Senza Taglio
Laminazione,Acconciature > Capelli Medi > Senza Taglio
Laminazione,Acconciature > Capelli Lunghi > Senza Taglio
Aggiunta Shampoo Specifico,Acconciature > Capelli Corti > Con Taglio
Aggiunta Shampoo Specifico,Acconciature > Capelli Medi > Con Taglio
Aggiunta Shampoo Specifico,Acconciature > Capelli Lunghi > Con Taglio
Aggiunta Shampoo Specifico,Acconciature > Capelli Corti > Senza Taglio
Aggiunta Shampoo Specifico,Acconciature > Capelli Medi > Senza Taglio
Aggiunta Shampoo Specifico,Acconciature > Capelli Lunghi > Senza Taglio
Aggiunta Maschera Specifica,Acconciature > Capelli Corti > Con Taglio
Aggiunta Maschera Specifica,Acconciature > Capelli Medi > Con Taglio
Aggiunta Maschera Specifica,Acconciature > Capelli Lunghi > Con Taglio
Aggiunta Maschera Specifica,Acconciature > Capelli Corti > Senza Taglio
Aggiunta Maschera Specifica,Acconciature > Capelli Medi > Senza Taglio
Aggiunta Maschera Specifica,Acconciature > Capelli Lunghi > Senza Taglio
Manicure no smalto,Cosmesi > Manicure
Manicure + smalto classico,Cosmesi > Manicure
Manicure + Smalto semipermanente,Cosmesi > Manicure
Pedicure,Cosmesi > Pedicure
Baffetto,Cosmesi > Ceretta
Gambe intere,Cosmesi > Ceretta
Inguine parziale,Cosmesi > Ceretta
Inguine Integrale,Cosmesi > Ceretta
Braccia,Cosmesi > Ceretta
Glutei,Cosmesi > Ceretta
Metà gamba inferiore,Cosmesi > Ceretta
Metà gamba superiore,Cosmesi > Ceretta
Ascelle,Cosmesi > Ceretta
Pulizia viso,Cosmesi > Trattamenti viso
Trattamento illuminante,Cosmesi > Trattamenti viso
Trattamento Anti-age,Cosmesi > Trattamenti viso
Make-up,Cosmesi > Trattamenti viso
Trattamento agli Alfa-idrossiacidi (anti-macchie),Cosmesi > Trattamenti viso
Sopracciglia Pinzetta,Cosmesi > Sopracciglia / Ciglia
Sopracciglia con ceretta + pinzetta,Cosmesi > Sopracciglia / Ciglia
Scrub corpo,Cosmesi > Trattamenti Corpo
Massaggio Total Boody Relax,Cosmesi > Trattamenti Corpo
Massaggio Schiena Relax,Cosmesi > Trattamenti Corpo
"Trattamento con bendaggi (Drenanti, Riducenti, Tonificanti)",Cosmesi > Trattamenti Corpo
Gambe Intere,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Metà Gambe Superiore,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Metà Gambe Inferiore,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Gambe + Inguine Bikini,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Inguine Parziale,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Inguine Integrale,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Baffetto,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Viso Completo,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Mento Ristretto,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Mento Esteso,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Ascelle,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Glutei,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Mani,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Piedi,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Petto,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Addome,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Braccia,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Spalle,Cosmesi > Trattamento Epilazione Laser Donna / Uomo
Drenaggio Elettronico,Cosmesi > Drenaggio Elettronico
Drenaggio Elettronico + bendaggio,Cosmesi > Drenaggio Elettronico
Consulenza Viso,Cosmesi > Consulenza
Consulenza Corpo,Cosmesi > Consulenza
Consulenza Trattamento di Epilazione Laser,Cosmesi > Consulenza
Manicure con Ricostruzione,Cosmesi > Manicure
Manicure Deluxe,Cosmesi > Manicure
Refil Ricostruzione,Cosmesi > Manicure
Rimozione ,Cosmesi > Manicure
Pedicure Deluxe,Cosmesi > Pedicure
Massaggi Spa,Cosmesi > Trattamenti Corpo
Massaggio Riflessologia Plantare,Cosmesi > Trattamenti Corpo
Laminazione Ciglia,Cosmesi > Sopracciglia / Ciglia
Exstention Ciglia,Cosmesi > Sopracciglia / Ciglia
Massaggio Spa,Cosmesi > Trattamenti Corpo
Pedicure estetico + Smalto Semipermanente,Cosmesi > Pedicure
Buono da,Acconciature > Non Prenotabili
App Ritocco Colore - Capelli Corti,Acconciature > Non Prenotabili
App Ritocco Colore - Capelli Medi,Acconciature > Non Prenotabili
App Ritocco Colore - Capelli Lunghi,Acconciature > Non Prenotabili
Riparazione,Cosmesi > Manicure
Trattamento Seno,Cosmesi > Trattamenti Corpo
Radiofrequenza  Addome,Cosmesi > Drenaggio Elettronico
Radiofrequenza  Glutei,Cosmesi > Drenaggio Elettronico
Radiofrequenza  Glutei,Cosmesi > Drenaggio Elettronico
Crio Gambe,Cosmesi > Drenaggio Elettronico
Crio Braccia,Cosmesi > Drenaggio Elettronico
Crio Glutei,Cosmesi > Drenaggio Elettronico
Massaggio agli oli essenziali o al cioccolato,Cosmesi > Trattamenti Corpo
Stone massage ,Cosmesi > Trattamenti Corpo
Peeling viso + massaggio viso + maschera,Cosmesi > Trattamenti viso
Carezze viso + peeling ,Cosmesi > Trattamenti viso
"Shampoo, taglio donazione e piega",Acconciature > Capelli Lunghi > Con Taglio
App Meches Parziali - Capelli Corti,Acconciature > Capelli Corti > Con Taglio
Acconciatura,Eventi 
Pacchetto sposa ,Eventi 
consulenze open day,Acconciature > Capelli Corti > Senza Taglio
consulenze open day,Acconciature > Capelli Medi > Senza Taglio
consulenze open day,Acconciature > Capelli Lunghi > Senza Taglio
LISSE DESIGN CAPELLI MEDI da ,Acconciature > KERATIN THERAPY
LISSE DESIGN CAPELLI LUNGHI  da ,Acconciature > KERATIN THERAPY
SHAMPOO CON MASSAGGIO,Acconciature > Capelli Corti > Con Taglio
SHAMPOO CON MASSAGGIO,Acconciature > Capelli Medi > Con Taglio
SHAMPOO CON MASSAGGIO,Acconciature > Capelli Lunghi > Con Taglio
SHAMPOO CON MASSAGGIO,Acconciature > Capelli Corti > Senza Taglio
Shampoo con Massaggio ,Acconciature > Capelli Medi > Senza Taglio
gsmbe inguine,""
Glutei, Ceretta > Ceretta Donna
Inguine Parziale, Ceretta > Ceretta Donna
Inguine Integrale, Ceretta > Ceretta Donna
Labbro superiore,""
Mezza gamba e inguine parziale,""
Corpo,""
Gamba intera e inguine parziale,""
Gamba intera e inguine Totale,""
Gamba intera e inguine Totale, Ceretta > Ceretta Donna
Ascelle cera brasiliana, Ceretta > Ceretta Donna
Braccia, Ceretta > Ceretta Donna
Gamba intera , Ceretta > Ceretta Donna
Mezza Gamba, Ceretta > Ceretta Donna
Mezza gamba e inguine parziale o totale, Ceretta > Ceretta Donna
Petto , Ceretta > Ceretta Uomo
Schiena, Ceretta > Ceretta Uomo
Gamba Intera , Ceretta > Ceretta Uomo
Ascelle, Ceretta > Ceretta Donna
Braccia,""
Inguine Totale,""
Petto,""
Schiena,""
 Cambio Smalto mani o piedi,Manicure > Manicure Donna
Manicure + smalto classico o senza,Manicure > Manicure Donna
Manicure Russa + Semipermanente,Manicure > Manicure Donna
Manicure Giapponese,Manicure > Manicure Donna
Manicure uomo,Manicure > Manicure Uomo
Pedicure Curativo ,Pedicure > Pedicure Donna
Pedicure estetico con o senza Smalto,Pedicure > Pedicure Donna
Rimozione Semipermanente piedi,Pedicure > Pedicure Donna
Scrub Piedi ,Pedicure > Pedicure Donna
Paraffina ,Pedicure > Pedicure Donna
Pedicure Estetico con Semipermanente e Scrub,Pedicure > Pedicure Donna
Pedicure uomo,Pedicure > Pedicure Uomo
Ceretta Labbro Superiore + Sopracciglia,Ciglia / Sopracciglia
Refill Sopracciglia Ceretta,Ciglia / Sopracciglia
Colore Hennè Sopracciglia,Ciglia / Sopracciglia
Colore Sopracciglia,Ciglia / Sopracciglia
Definizione Sopracciglia cera o pinza,Ciglia / Sopracciglia
Epilazione Sopracciglia + Colore,Ciglia / Sopracciglia
Laminazione Sopracciglia,Ciglia / Sopracciglia
Refill Sopracciglia con Pinzetta,Ciglia / Sopracciglia
Scrub Mani,Manicure > Manicure Donna
Laser Linea Alba,Laser  > Laser Donna
Laser Gambe,Laser  > Laser Uomo
Laser Ascelle,Laser  > Laser Uomo
Laser Mani ,Laser  > Laser Uomo
Smalto Semipermanente piedi,Pedicure > Pedicure Donna
Pedicure Rilassante con Massagiatore elettrico,Pedicure > Pedicure Donna
